iter	Passed	Remaining
0	4	400
1	7	343
2	9	315
3	11	275
4	13	259
5	16	252
6	18	246
7	21	249
8	23	239
9	26	235
10	28	230
11	31	234
12	34	229
13	36	222
14	38	219
15	40	215
16	43	211
17	45	205
18	47	201
19	49	197
20	51	193
21	53	188
22	54	183
23	56	179
24	59	177
25	60	173
26	62	169
27	64	165
28	66	161
29	67	158
30	69	155
31	71	151
32	73	148
33	74	145
34	76	142
35	78	139
36	79	136
37	81	133
38	83	130
39	85	127
40	87	125
41	88	122
42	90	119
43	92	117
44	93	114
45	95	112
46	97	109
47	99	107
48	101	105
49	103	103
50	105	101
51	107	99
52	109	96
53	110	94
54	111	91
55	113	88
56	114	86
57	116	84
58	117	81
59	119	79
60	120	77
61	122	75
62	124	72
63	125	70
64	127	68
65	129	66
66	130	64
67	131	62
68	133	59
69	134	57
70	135	55
71	137	53
72	138	51
73	139	49
74	140	46
75	142	44
76	143	42
77	144	40
78	145	38
79	146	36
80	147	34
81	149	32
82	150	30
83	151	28
84	153	27
85	154	25
86	156	23
87	157	21
88	158	19
89	160	17
90	162	16
91	163	14
92	165	12
93	166	10
94	168	8
95	169	7
96	171	5
97	172	3
98	174	1
99	176	0
