iter	Passed	Remaining
0	157	157169
1	159	79386
2	161	53816
3	163	40709
4	164	32759
5	165	27497
6	167	23744
7	168	20891
8	169	18685
9	170	16918
10	175	15736
11	176	14532
12	177	13508
13	179	12623
14	180	11861
15	182	11203
16	183	10613
17	184	10091
18	189	9780
19	190	9336
20	191	8932
21	192	8569
22	193	8240
23	195	7932
24	196	7645
25	197	7384
26	201	7276
27	203	7057
28	204	6848
29	205	6653
30	206	6465
31	207	6291
32	209	6128
33	210	5968
34	211	5817
35	211	5674
36	213	5550
37	215	5455
38	216	5341
39	217	5228
40	219	5124
41	220	5025
42	221	4932
43	222	4841
44	224	4756
45	225	4673
46	229	4644
47	230	4577
48	231	4499
49	232	4424
50	233	4352
51	234	4282
52	235	4215
53	236	4149
54	238	4091
55	244	4114
56	245	4063
57	246	4007
58	248	3971
59	251	3938
60	252	3890
61	253	3842
62	255	3804
63	258	3778
64	259	3735
65	261	3694
66	265	3692
67	266	3655
68	269	3631
69	271	3603
70	273	3579
71	275	3546
72	276	3511
73	277	3474
74	278	3438
75	280	3410
76	281	3376
77	284	3365
78	288	3360
79	289	3331
80	290	3300
81	292	3275
82	293	3241
83	294	3215
84	296	3188
85	298	3167
86	300	3149
87	301	3123
88	302	3095
89	303	3067
90	304	3040
91	305	3013
92	306	2988
93	309	2982
94	310	2960
95	311	2937
96	313	2916
97	315	2901
98	317	2889
99	319	2871
100	320	2850
101	321	2828
102	322	2806
103	323	2784
104	324	2762
105	324	2740
106	325	2720
107	327	2703
108	329	2695
109	333	2695
110	334	2680
111	335	2663
112	337	2645
113	337	2626
114	338	2606
115	339	2588
116	340	2568
117	343	2569
118	345	2560
119	346	2543
120	347	2527
121	348	2508
122	349	2491
123	350	2475
124	351	2458
125	352	2442
126	352	2425
127	353	2409
128	359	2425
129	361	2418
130	362	2403
131	363	2388
132	364	2373
133	365	2359
134	365	2344
135	366	2329
136	367	2315
137	368	2301
138	372	2305
139	374	2303
140	376	2291
141	376	2276
142	377	2264
143	379	2253
144	380	2241
145	381	2229
146	381	2216
147	382	2203
148	383	2191
149	385	2182
150	387	2176
151	388	2167
152	389	2157
153	390	2146
154	391	2135
155	392	2123
156	394	2119
157	395	2109
158	396	2098
159	397	2086
160	399	2081
161	401	2077
162	404	2078
163	405	2069
164	406	2058
165	407	2048
166	408	2038
167	409	2028
168	410	2018
169	411	2008
170	412	1998
171	416	2006
172	419	2007
173	421	1998
174	422	1989
175	423	1982
176	424	1972
177	425	1963
178	425	1953
179	427	1948
180	430	1946
181	431	1941
182	433	1933
183	433	1924
184	434	1914
185	435	1905
186	436	1896
187	437	1888
188	438	1880
189	439	1871
190	439	1863
191	440	1855
192	444	1859
193	447	1858
194	448	1853
195	450	1846
196	450	1837
197	451	1829
198	452	1821
199	453	1813
200	454	1806
201	455	1798
202	460	1806
203	462	1805
204	464	1800
205	465	1793
206	466	1786
207	467	1779
208	468	1771
209	469	1764
210	469	1756
211	471	1752
212	473	1748
213	475	1745
214	476	1740
215	477	1733
216	478	1727
217	479	1720
218	480	1713
219	481	1706
220	482	1699
221	483	1693
222	484	1687
223	485	1681
224	486	1677
225	488	1673
226	489	1668
227	490	1661
228	491	1655
229	492	1648
230	493	1642
231	494	1636
232	495	1630
233	496	1624
234	497	1618
235	498	1612
236	499	1609
237	501	1606
238	502	1600
239	503	1595
240	504	1589
241	505	1583
242	506	1577
243	507	1571
244	507	1565
245	508	1559
246	509	1553
247	510	1548
248	511	1542
249	512	1536
250	513	1533
251	516	1532
252	517	1527
253	518	1522
254	519	1517
255	520	1511
256	521	1506
257	521	1500
258	522	1495
259	523	1489
260	524	1484
261	525	1479
262	525	1473
263	526	1468
264	527	1464
265	530	1463
266	531	1459
267	532	1454
268	533	1448
269	533	1443
270	534	1438
271	535	1433
272	536	1428
273	537	1423
274	538	1418
275	539	1413
276	539	1409
277	540	1404
278	541	1400
279	546	1404
280	547	1401
281	548	1396
282	549	1392
283	550	1387
284	551	1383
285	552	1378
286	553	1374
287	553	1369
288	554	1364
289	555	1360
290	556	1355
291	560	1358
292	561	1354
293	562	1349
294	562	1345
295	563	1341
296	564	1336
297	565	1332
298	566	1328
299	567	1323
300	568	1319
301	568	1314
302	569	1310
303	570	1306
304	571	1303
305	573	1300
306	574	1297
307	575	1293
308	576	1290
309	578	1286
310	579	1283
311	580	1279
312	581	1276
313	582	1272
314	583	1268
315	584	1264
316	584	1260
317	586	1258
318	589	1257
319	590	1254
320	591	1250
321	592	1247
322	595	1247
323	596	1244
324	597	1240
325	598	1236
326	599	1232
327	599	1229
328	600	1225
329	602	1222
330	603	1219
331	604	1215
332	604	1211
333	605	1208
334	606	1204
335	609	1203
336	610	1200
337	611	1196
338	612	1193
339	612	1189
340	613	1186
341	614	1183
342	617	1182
343	618	1179
344	619	1176
345	620	1173
346	621	1170
347	622	1166
348	623	1162
349	624	1159
350	625	1155
351	625	1152
352	626	1148
353	627	1145
354	629	1143
355	632	1144
356	633	1141
357	634	1138
358	635	1135
359	636	1131
360	637	1128
361	638	1125
362	639	1122
363	640	1118
364	640	1115
365	642	1112
366	643	1110
367	644	1107
368	645	1104
369	646	1101
370	647	1097
371	648	1094
372	649	1091
373	650	1088
374	650	1084
375	651	1081
376	652	1078
377	653	1075
378	654	1071
379	654	1068
380	655	1065
381	657	1063
382	658	1060
383	659	1057
384	660	1054
385	661	1051
386	661	1048
387	662	1045
388	663	1042
389	664	1039
390	665	1036
391	666	1033
392	666	1030
393	667	1027
394	668	1023
395	669	1020
396	670	1018
397	672	1016
398	673	1014
399	674	1011
400	675	1008
401	675	1005
402	676	1002
403	677	999
404	678	996
405	679	993
406	680	990
407	680	987
408	681	985
409	682	982
410	683	979
411	684	976
412	685	974
413	687	972
414	688	970
415	689	967
416	690	964
417	690	962
418	691	959
419	692	956
420	693	953
421	694	951
422	695	948
423	696	945
424	697	943
425	697	940
426	698	937
427	700	935
428	702	934
429	703	932
430	704	929
431	705	927
432	706	924
433	706	922
434	708	919
435	708	917
436	709	914
437	710	912
438	711	909
439	712	906
440	713	904
441	714	901
442	716	900
443	717	898
444	718	895
445	719	893
446	720	891
447	721	888
448	722	886
449	722	883
450	723	881
451	724	878
452	725	876
453	726	873
454	727	871
455	728	868
456	730	867
457	732	866
458	733	864
459	734	861
460	735	859
461	736	857
462	737	855
463	738	853
464	739	850
465	740	848
466	741	846
467	742	843
468	743	842
469	745	840
470	746	838
471	747	835
472	747	833
473	748	830
474	749	828
475	750	826
476	751	823
477	752	821
478	752	818
479	753	816
480	754	814
481	755	811
482	756	810
483	758	808
484	759	806
485	760	804
486	761	801
487	762	799
488	762	797
489	763	794
490	764	792
491	765	790
492	766	787
493	766	785
494	767	783
495	768	781
496	769	778
497	770	776
498	773	776
499	775	775
500	776	772
501	776	770
502	777	768
503	778	766
504	779	764
505	780	761
506	781	759
507	782	757
508	783	755
509	784	753
510	784	751
511	786	749
512	788	748
513	790	747
514	792	746
515	793	744
516	794	741
517	794	739
518	795	737
519	796	735
520	797	733
521	798	730
522	801	731
523	804	730
524	806	729
525	807	727
526	808	725
527	809	723
528	810	721
529	811	719
530	811	717
531	813	715
532	815	714
533	818	714
534	819	712
535	820	710
536	821	708
537	822	706
538	824	704
539	825	702
540	826	700
541	827	699
542	829	698
543	831	697
544	833	695
545	834	693
546	835	692
547	836	689
548	837	687
549	838	685
550	839	683
551	840	681
552	841	680
553	843	679
554	846	678
555	848	677
556	849	675
557	850	673
558	851	671
559	852	669
560	852	667
561	853	665
562	854	663
563	855	661
564	856	659
565	858	658
566	860	656
567	862	655
568	863	653
569	864	651
570	865	649
571	865	647
572	866	645
573	867	643
574	868	641
575	869	640
576	872	639
577	875	639
578	876	637
579	877	635
580	878	633
581	879	631
582	880	629
583	880	627
584	881	625
585	882	623
586	883	621
587	884	619
588	887	619
589	890	618
590	891	616
591	892	615
592	893	613
593	894	611
594	895	609
595	895	607
596	896	605
597	897	603
598	898	601
599	900	600
600	903	599
601	905	598
602	907	597
603	907	595
604	908	593
605	909	591
606	910	589
607	911	587
608	912	586
609	914	584
610	916	583
611	918	582
612	920	581
613	921	579
614	922	577
615	923	575
616	923	573
617	924	571
618	925	569
619	926	567
620	927	565
621	928	564
622	929	562
623	931	561
624	933	560
625	934	558
626	935	556
627	936	554
628	937	552
629	938	551
630	939	549
631	939	547
632	940	545
633	941	543
634	942	541
635	943	539
636	945	538
637	947	537
638	949	536
639	950	534
640	950	532
641	951	530
642	952	528
643	953	526
644	954	525
645	954	523
646	955	521
647	956	519
648	957	517
649	958	516
650	960	514
651	962	513
652	963	511
653	963	509
654	964	508
655	965	506
656	966	504
657	967	502
658	968	501
659	969	499
660	970	497
661	971	496
662	973	495
663	976	494
664	978	492
665	979	491
666	980	489
667	980	487
668	981	485
669	982	484
670	983	482
671	984	480
672	985	478
673	988	478
674	991	477
675	993	476
676	994	474
677	995	472
678	998	471
679	999	470
680	1002	469
681	1004	468
682	1008	467
683	1009	466
684	1013	466
685	1014	464
686	1017	463
687	1021	463
688	1022	461
689	1025	460
690	1027	459
691	1028	457
692	1038	460
693	1039	458
694	1041	456
695	1042	455
696	1043	453
697	1046	452
698	1049	451
699	1051	450
700	1053	449
701	1054	447
702	1058	447
703	1059	445
704	1065	445
705	1067	444
706	1068	442
707	1069	441
708	1070	439
709	1072	437
710	1073	436
711	1079	436
712	1081	435
713	1082	433
714	1086	432
715	1087	431
716	1092	431
717	1096	430
718	1097	428
719	1099	427
720	1101	426
721	1104	425
722	1107	424
723	1108	422
724	1109	421
725	1111	419
726	1119	420
727	1121	419
728	1123	417
729	1124	415
730	1125	414
731	1126	412
732	1127	410
733	1131	409
734	1132	408
735	1135	407
736	1136	405
737	1137	403
738	1138	402
739	1140	400
740	1142	399
741	1146	398
742	1148	397
743	1150	395
744	1151	394
745	1159	394
746	1162	393
747	1164	392
748	1165	390
749	1166	388
750	1167	387
751	1169	385
752	1170	383
753	1174	383
754	1178	382
755	1180	381
756	1181	379
757	1183	377
758	1184	376
759	1186	374
760	1188	373
761	1196	373
762	1206	374
763	1208	373
764	1209	371
765	1211	370
766	1213	368
767	1215	367
768	1221	366
769	1223	365
770	1225	363
771	1226	362
772	1227	360
773	1227	358
774	1229	356
775	1229	355
776	1233	353
777	1236	352
778	1238	351
779	1239	349
780	1242	348
781	1244	347
782	1252	347
783	1254	345
784	1257	344
785	1258	342
786	1260	341
787	1263	339
788	1265	338
789	1266	336
790	1269	335
791	1270	333
792	1276	333
793	1278	331
794	1279	329
795	1280	328
796	1281	326
797	1283	324
798	1284	323
799	1285	321
800	1286	319
801	1289	318
802	1291	316
803	1292	315
804	1293	313
805	1294	311
806	1295	309
807	1296	308
808	1297	306
809	1297	304
810	1298	302
811	1299	300
812	1300	299
813	1302	297
814	1303	295
815	1305	294
816	1306	292
817	1308	291
818	1309	289
819	1309	287
820	1310	285
821	1312	284
822	1312	282
823	1313	280
824	1314	278
825	1315	277
826	1316	275
827	1317	273
828	1319	272
829	1320	270
830	1321	268
831	1322	267
832	1323	265
833	1324	263
834	1325	261
835	1326	260
836	1326	258
837	1327	256
838	1328	254
839	1329	253
840	1332	251
841	1334	250
842	1335	248
843	1336	247
844	1337	245
845	1338	243
846	1339	241
847	1340	240
848	1341	238
849	1342	236
850	1343	235
851	1344	233
852	1348	232
853	1349	230
854	1350	228
855	1351	227
856	1352	225
857	1353	223
858	1354	222
859	1355	220
860	1356	218
861	1357	217
862	1357	215
863	1358	213
864	1364	212
865	1365	211
866	1366	209
867	1367	207
868	1368	206
869	1368	204
870	1369	202
871	1370	201
872	1371	199
873	1372	197
874	1373	196
875	1377	194
876	1378	193
877	1379	191
878	1380	190
879	1381	188
880	1382	186
881	1382	185
882	1383	183
883	1384	181
884	1385	180
885	1386	178
886	1386	176
887	1387	175
888	1389	173
889	1391	172
890	1393	170
891	1395	168
892	1395	167
893	1396	165
894	1397	163
895	1398	162
896	1399	160
897	1400	159
898	1401	157
899	1402	155
900	1405	154
901	1408	152
